row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
70,657.3262,12.3,4300000,DA49_edgeworthianin G (ECH-6),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)CC)C2OC(C)=O,MD,0,12,MD,C36H48O11,possibly undescribed,none,[M+H]+,none
71,653.3317,9.6,10000000,DA50_stelleralide H (WLI-j),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)C(C(C)CCCCCCC5O)C14)O2,MD,6,11,MD,C37H48O10,possibly known,std_wikstroelide F (DA41),[M+H]+,none
72,653.331,10.2,110000000,DA51_gnidimacrin (DOSO-B),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CCCCCCC5O)C14)O2,MD,17,21,MD,C37H48O10,possibly known,std_wikstroelide F (DA41),[M+H]+,none
73,657.3254,12.1,47000000,DA52_edgeworthianin C (ECH-5),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)c1ccccc1)C2OC(C)=O,MD,7,14,MD,C36H48O11,possibly undescribed,none,[M+H]+,none
74,665.2947,10.9,14000000,DA53_daphnepedunin F (TDPE-39),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCC(OC(=O)c6ccccc6)CC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,10,8,MD,C37H44O11,possibly undescribed,none,[M+H]+,none
75,711.337,8,110000000,DA54_stelleralide F (DPSft-11),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)CCCCC5O)C14)O2,MD,25,25,MD,C39H50O12,possibly undescribed,none,[M+H]+,none
76,773.3517,10.2,11000000,DA55_stelleralide G (WIS-12),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)CCCCC5O)C14)O2,MD,16,21,MD,C44H52O12,possibly undescribed,none,[M+H]+,none
77,893.3734,9,5200000,DA56_daphneodorin A (DOSO-K),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(=O)c3ccccc3)CCCC5O)C14)O2,MD,39,22,MD,C51H56O14,possibly undescribed,none,[M+H]+,none
78,951.3799,8.2,48000000,DA57_daphneodorin B (DOSO-E),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(C)=O)C(OC(=O)c3ccccc3)CCC5O)C14)O2,MD,24,13,MD,C53H58O16,possibly undescribed,none,[M+H]+,none
79,951.3797,7.6,470000,DA58_daphneodorin C (DOL-E2),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(C)=O)C(OC(=O)c3ccccc3)CCC5O)C14)O2,MD,24,13,MD,C53H58O16,possibly undescribed,none,[M+H]+,none
80,675.3157,8,780000000,DA25_daphneodorin G (DOSO-Q),C=C(C)C1(O)C(OC(=O)C=Cc2ccccc2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCC,D,12,0,D,C39H46O10,possibly known,"std_12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E,6E)-decatrienylidyne-5ﾎｲ,12ﾎｲ-dihydroxyresiniferonol-6ﾎｱ,7ﾎｱ-oxide (DA22)",[M+H-H2O]+,"28, 80"
